median_square_feet,average_listing_price,indicator
5966,350000,No deal
1327,104900,Good deal
2670,1216402,No deal
2464,584450,No deal
1870,254645,Good deal
1800,647500,No deal
1418,125000,Good deal
2915,554813,No deal
2586,597667,No deal
1324,212850,Good deal
5129,633750,No deal
2431,403863,No deal
3786,454450,No deal
1656,242084,Good deal
1266,214950,Good deal
1532,169250,Good deal
1678,714721,No deal
1901,272625,Good deal
1617,135204,Good deal
1311,205000,Good deal
1978,275671,Good deal
3330,159900,Good deal
3059,218750,Good deal
3624,595000,No deal
9000,774500,No deal
1216,99000,Good deal
1885,412526,Good deal
6200,1105881,No deal
1847,250010,Good deal
1800,384268,No deal
1621,431358,No deal
2301,429124,Good deal
1860,536050,No deal
1935,298513,Good deal
1952,326233,Good deal
1020,52500,Good deal
1464,152500,Good deal
1541,239479,Good deal
2786,2031728,No deal
1680,559289,No deal
1242,187020,Good deal
1532,281270,Good deal
1927,202400,Good deal
1169,94000,Good deal
1216,297667,No deal
2016,220000,Good deal
2534,79900,Good deal
1887,253281,Good deal
2490,3767179,No deal
2617,655743,No deal
1909,214938,Good deal
1642,342175,No deal
1754,382832,No deal
1893,356455,Good deal
1056,246000,Good deal
2301,724575,Good deal
1440,185000,Good deal
1480,532819,No deal
2043,299257,Good deal
2156,85000,Good deal
2912,518000,No deal
1997,175657,Good deal
1396,197367,Good deal
5625,810000,No deal
2798,432958,No deal
1151,219395,Good deal
1950,68000,Good deal
1384,210222,Good deal
1728,388634,No deal
1603,298839,No deal
3208,645259,No deal
1732,133750,Good deal
2137,134900,Good deal
1472,164500,Good deal
2820,8018839,No deal
2039,731250,Good deal
1534,243650,Good deal
2671,179363,Good deal
1587,364376,No deal
2054,976425,Good deal
1196,325000,No deal
1555,202500,Good deal
1078,64081,Good deal
1712,58500,Good deal
1200,273233,Good deal
1348,40000,Good deal
2234,199779,Good deal
620,65000,Good deal
2465,325000,No deal
1573,343367,No deal
1755,356085,No deal
2810,834994,No deal
2732,255917,Good deal
2450,365417,No deal
3631,904864,No deal
1145,69350,Good deal
2400,959800,No deal
1724,491900,No deal
1437,483668,No deal
961,85900,Good deal
1376,312450,No deal
1526,171450,Good deal
1920,217067,Good deal
2024,381204,Good deal
1665,129900,Good deal
2198,42450,Good deal
2302,629276,Good deal
1444,390025,No deal
2628,287500,Good deal
953,405150,No deal
2419,473455,No deal
1978,98300,Good deal
1988,355037,Good deal
1844,301755,No deal
1342,7179601,No deal
1351,378610,No deal
850,39900,Good deal
1579,190416,Good deal
1572,497750,No deal
1765,379669,No deal
2590,527667,No deal
3000,698177,No deal
1608,149872,Good deal
5487,1100000,No deal
1500,271311,Good deal
1465,106268,Good deal
1498,116984,Good deal
1000,1278487,No deal
2308,585110,Good deal
3087,389900,No deal
1723,149975,Good deal
1676,118087,Good deal
2500,1039550,No deal
1363,250000,Good deal
2937,743238,No deal
3819,963151,No deal
2116,369288,Good deal
1032,263582,Good deal
1860,249000,Good deal
1743,375088,No deal
2720,215000,Good deal
1656,343497,No deal
1309,202809,Good deal
2500,307950,No deal
3200,646650,No deal
3520,189900,Good deal
1542,1666284,No deal
1909,378264,Good deal
1152,49900,Good deal
1400,157475,Good deal
2629,166500,Good deal
1780,339702,No deal
1008,55000,Good deal
2112,522250,Good deal
2600,868475,No deal
1249,1249592,No deal
2189,248324,Good deal
1536,432869,No deal
1976,75000,Good deal
1454,430002,No deal
2112,137500,Good deal
2065,701538,Good deal
1565,431457,No deal
2566,683679,No deal
1500,114300,Good deal
1753,374105,No deal
2022,398195,Good deal
1600,2600000,No deal
1458,117677,Good deal
1150,735875,No deal
2316,444500,Good deal
1296,543249,No deal
2096,992069,Good deal
2920,617850,No deal
1639,710783,No deal
1383,314557,No deal
1500,220000,Good deal
1581,463202,No deal
1969,594216,Good deal
2168,292250,Good deal
1838,275000,Good deal
1272,133900,Good deal
1288,191521,Good deal
2007,182458,Good deal
1636,238499,Good deal
1128,161250,Good deal
2100,567218,Good deal
2189,599999,Good deal
2340,292188,Good deal
3667,398650,No deal
3347,439583,No deal
2550,965302,No deal
2986,1106017,No deal
1118,99975,Good deal
1656,498419,No deal
2200,508896,Good deal
2048,392067,Good deal
2814,265000,Good deal
1579,286791,Good deal
6000,1.27E+07,No deal
2227,813765,Good deal
1752,398188,No deal
2137,971320,Good deal
2284,337075,Good deal
2479,466898,No deal
2247,212843,Good deal
2681,447524,No deal
1097,254900,Good deal
2200,185000,Good deal
1333,149730,Good deal
1712,308763,No deal
1900,727139,Good deal
3980,712494,No deal
2103,255250,Good deal
2666,670325,No deal
2259,1300000,Good deal
1764,153233,Good deal
3352,563651,No deal
2552,596999,No deal
2127,422170,Good deal
1871,461450,No deal
1706,84225,Good deal
1485,513173,No deal
1489,325000,No deal
2046,353016,Good deal
1633,162333,Good deal
2552,218675,Good deal
1072,45000,Good deal
3348,258083,Good deal
1856,209070,Good deal
1036,317092,No deal
1837,207874,Good deal
2828,265000,Good deal
3300,450000,No deal
1512,234491,Good deal
1496,422173,No deal
1503,1410214,No deal
2859,406608,No deal
3036,3199000,No deal
2727,691334,No deal
1658,189740,Good deal
1500,295815,No deal
4297,374900,No deal
1555,201302,Good deal
1900,892000,Good deal
1228,193500,Good deal
350,106500,Good deal
1886,328878,Good deal
2253,677238,Good deal
4017,1712535,No deal
1600,350000,No deal
2222,957522,Good deal
1281,136150,Good deal
1300,185943,Good deal
3208,76987,Good deal
4800,794995,No deal
1712,554723,No deal
1100,169900,Good deal
1584,549000,No deal
2000,251543,Good deal
2630,528578,No deal
3118,2472000,No deal
2619,395900,No deal
3054,369950,No deal
4097,668662,No deal
2608,256725,Good deal
3263,299999,No deal
4008,1230000,No deal
1564,226288,Good deal
1200,204686,Good deal
2380,395000,No deal
1719,499277,No deal
1642,212177,Good deal
1918,458702,Good deal
1497,358533,No deal
1712,260629,Good deal
1677,1414833,No deal
1349,269900,Good deal
1378,112032,Good deal
1820,520539,No deal
1566,140350,Good deal
1673,673575,No deal
2611,138900,Good deal
3940,537000,No deal
2368,755000,No deal
1872,177620,Good deal
1750,168975,Good deal
1431,182017,Good deal
864,62000,Good deal
2928,258000,Good deal
2744,234250,Good deal
1736,321593,No deal
1784,253300,Good deal
8324,1349500,No deal
2392,283214,Good deal
2150,386652,Good deal
3500,825000,No deal
1903,203233,Good deal
1902,518083,Good deal
2259,639000,Good deal
1800,679592,No deal
2227,394640,Good deal
3774,669000,No deal
2100,174950,Good deal
3238,131083,Good deal
1673,399801,No deal
1932,294170,Good deal
2526,391935,No deal
3910,593895,No deal
2394,3464235,No deal
1602,472464,No deal
2109,129000,Good deal
1826,463787,No deal
1914,1118400,Good deal
1314,243727,Good deal
1660,469622,No deal
2951,707612,No deal
1286,958050,No deal
1472,368719,No deal
2052,322599,Good deal
2616,513478,No deal
1836,414617,No deal
2275,585909,Good deal
1278,158225,Good deal
1727,1915037,No deal
1656,328440,No deal
3462,510000,No deal
1256,707877,No deal
1573,475138,No deal
2000,180667,Good deal
1240,138485,Good deal
1852,220720,Good deal
2023,275540,Good deal
1533,294516,No deal
1253,224905,Good deal
1618,306579,No deal
1778,202455,Good deal
2030,312916,Good deal
2336,899000,Good deal
1632,219501,Good deal
1809,436380,No deal
1180,146900,Good deal
1016,149900,Good deal
1767,247790,Good deal
1950,3031239,Good deal
2228,546246,Good deal
1817,103000,Good deal
640,265000,Good deal
1778,99900,Good deal
1218,261950,Good deal
1483,911833,No deal
1993,688333,Good deal
1810,268722,Good deal
1876,425789,No deal
1421,150630,Good deal
1498,1139772,No deal
1230,975800,No deal
1722,178031,Good deal
2681,276333,Good deal
2455,598843,No deal
1810,558667,No deal
1604,575265,No deal
1645,855008,No deal
1372,255000,Good deal
1584,142000,Good deal
4977,5380857,No deal
1368,428725,No deal
2200,678253,Good deal
1915,83500,Good deal
2275,277177,Good deal
2673,1132674,No deal
1530,230292,Good deal
2460,377411,No deal
2000,429706,Good deal
1939,275875,Good deal
1759,312500,No deal
2430,672478,No deal
1948,2368560,Good deal
4490,849000,No deal
2548,317450,No deal
2007,169083,Good deal
1790,2039143,No deal
1980,208590,Good deal
1183,677404,No deal
2212,938539,Good deal
4047,1634961,No deal
2270,520883,Good deal
1200,119250,Good deal
2000,108590,Good deal
1750,292536,Good deal
1200,229900,Good deal
1460,94483,Good deal
1483,128322,Good deal
1619,789663,No deal
1053,147500,Good deal
2200,381742,Good deal
1316,708327,No deal
3283,256939,Good deal
2001,328722,Good deal
1720,230000,Good deal
960,68000,Good deal
2539,623119,No deal
1468,292122,Good deal
1584,160000,Good deal
1167,93138,Good deal
4842,628250,No deal
1860,419313,No deal
3540,622833,No deal
3550,749139,No deal
1542,1229403,No deal
1850,367453,No deal
1902,241856,Good deal
2000,343900,Good deal
1360,420426,No deal
1976,221725,Good deal
2083,251749,Good deal
1484,449523,No deal
1707,273572,Good deal
1084,362500,No deal
1464,1017300,No deal
1129,312788,No deal
1614,902106,No deal
1276,72626,Good deal
864,67000,Good deal
2041,398105,Good deal
1232,570393,No deal
1056,399900,No deal
1692,156225,Good deal
1875,990686,No deal
2330,314756,Good deal
3738,543725,No deal
991,95000,Good deal
1335,371132,No deal
3476,2741500,No deal
1473,273331,Good deal
2684,738500,No deal
1485,122483,Good deal
1783,447202,No deal
3268,629900,No deal
1376,319084,No deal
1385,139688,Good deal
1472,1343456,No deal
1700,685780,No deal
1986,540981,Good deal
1598,400000,No deal
2190,1237958,Good deal
2880,234471,Good deal
1724,164067,Good deal
1782,39900,Good deal
1150,268750,Good deal
880,142233,Good deal
1108,49250,Good deal
1840,148750,Good deal
1785,294885,No deal
2656,4205198,No deal
2600,331600,No deal
1200,433600,No deal
1920,999000,Good deal
1680,245786,Good deal
1200,100000,Good deal
1467,340021,No deal
1549,1250217,No deal
1416,148763,Good deal
1205,203199,Good deal
1496,184548,Good deal
1601,303068,No deal
1194,197888,Good deal
1288,203019,Good deal
3654,413675,No deal
768,150000,Good deal
2279,108388,Good deal
3628,475000,No deal
2334,260463,Good deal
2339,655317,Good deal
2300,213771,Good deal
1952,528355,Good deal
1854,175000,Good deal
2269,1680025,Good deal
2372,169450,Good deal
1533,159566,Good deal
2000,537862,Good deal
2399,590479,No deal
1841,1076049,No deal
1298,278961,Good deal
1015,281577,Good deal
5001,568453,No deal
2870,387712,No deal
1383,68500,Good deal
1842,180000,Good deal
2524,607047,No deal
1248,225000,Good deal
1272,296479,No deal
1634,386593,No deal
2328,911776,Good deal
1540,471154,No deal
1494,494918,No deal
1519,114200,Good deal
1970,523792,Good deal
1589,255857,Good deal
1628,312822,No deal
2428,1348579,No deal
4275,578750,No deal
1705,540783,No deal
1440,80009,Good deal
1748,238725,Good deal
1674,395049,No deal
12607,3575000,No deal
1557,373113,No deal
1833,463073,No deal
1536,274289,Good deal
2069,490346,Good deal
2491,491667,No deal
1338,177450,Good deal
2535,2180125,No deal
2600,255817,Good deal
1748,386673,No deal
1766,274750,Good deal
938,929321,No deal
937,466760,No deal
2342,357534,Good deal
900,288358,Good deal
1865,102588,Good deal
2066,281978,Good deal
2237,430601,Good deal
2207,766404,Good deal
2421,374967,No deal
1864,437071,No deal
3112,7764000,No deal
1200,214000,Good deal
1750,648344,No deal
2027,1655157,Good deal
1587,156464,Good deal
1474,1464942,No deal
1790,227540,Good deal
2727,539000,No deal
1546,817885,No deal
1916,431605,Good deal
2100,396717,Good deal
2910,1424800,No deal
2102,417971,Good deal
999,194000,Good deal
1246,422993,No deal
800,274000,Good deal
2338,1525750,Good deal
1760,282433,Good deal
2100,424663,Good deal
950,51375,Good deal
2788,3296816,No deal
3264,218200,Good deal
2484,135000,Good deal
2478,517775,No deal
1603,187450,Good deal
3172,839536,No deal
1400,881155,No deal
1468,289696,Good deal
1446,495423,No deal
1749,229289,Good deal
1128,89854,Good deal
2875,114750,Good deal
2293,569442,Good deal
3923,3721327,No deal
780,322900,No deal
5311,2750000,No deal
1767,169900,Good deal
3068,320000,No deal
1692,535772,No deal
1183,201417,Good deal
1724,245525,Good deal
1140,260000,Good deal
3398,569000,No deal
1876,106567,Good deal
1417,145000,Good deal
1825,137225,Good deal
1555,240050,Good deal
2505,456875,No deal
1942,589993,Good deal
2050,364416,Good deal
1772,137973,Good deal
1872,90713,Good deal
7622,2600000,No deal
2013,111430,Good deal
2869,502788,No deal
7181,1502377,No deal
1873,441753,No deal
1531,102526,Good deal
1238,74500,Good deal
2340,564805,Good deal
416,165000,Good deal
1497,423617,No deal
1168,431476,No deal
1662,322303,No deal
2122,160667,Good deal
1978,459000,Good deal
2516,489000,No deal
1935,592403,Good deal
4356,3265362,No deal
1593,254422,Good deal
1264,245278,Good deal
1896,301856,Good deal
1680,82858,Good deal
2133,329822,Good deal
2294,289967,Good deal
1716,160792,Good deal
3351,3187514,No deal
988,130000,Good deal
950,49900,Good deal
2503,469387,No deal
2496,204749,Good deal
2010,392864,Good deal
1326,677500,No deal
1816,507161,No deal
1595,273601,Good deal
1773,92000,Good deal
1219,274974,Good deal
870,884110,No deal
725,55000,Good deal
1945,317450,Good deal
2205,726000,Good deal
1674,150000,Good deal
864,59000,Good deal
2397,827967,No deal
1793,495487,No deal
1595,212200,Good deal
1793,168783,Good deal
3110,325000,No deal
3533,688215,No deal
1705,241311,Good deal
1510,710767,No deal
2142,216001,Good deal
1400,353469,No deal
1337,234673,Good deal
1800,139467,Good deal
2573,471997,No deal
2554,646302,No deal
3890,252400,Good deal
2376,2006667,No deal
2092,287250,Good deal
2972,395117,No deal
2467,412592,No deal
5714,2415017,No deal
2066,808809,Good deal
1811,648650,No deal
2516,349000,No deal
2170,342557,Good deal
1342,1647456,No deal
1503,831458,No deal
1987,498770,Good deal
1273,332950,No deal
2031,280160,Good deal
1100,172933,Good deal
1634,100000,Good deal
1248,238000,Good deal
1312,98620,Good deal
2688,249900,Good deal
3047,934500,No deal
1853,393675,No deal
1713,1136391,No deal
1930,415000,Good deal
2167,896730,Good deal
2398,586149,No deal
2154,899999,Good deal
1460,172892,Good deal
3676,6129265,No deal
1500,457050,No deal
1912,215257,Good deal
2781,274900,Good deal
1383,155162,Good deal
2996,797500,No deal
2171,238796,Good deal
1382,231406,Good deal
3650,1262730,No deal
1432,319856,No deal
1244,156738,Good deal
2970,727108,No deal
2382,838999,No deal
1297,373902,No deal
1807,172000,Good deal
2552,258250,Good deal
1560,179900,Good deal
1111,96842,Good deal
1960,290180,Good deal
2183,524600,Good deal
2386,519004,No deal
1457,1078633,No deal
2916,603708,No deal
1724,398499,No deal
1976,162967,Good deal
1921,308812,Good deal
1248,3850000,No deal
1624,46318,Good deal
2942,169900,Good deal
880,350000,No deal
1950,379325,Good deal
1813,353799,No deal
1190,90941,Good deal
3400,1376402,No deal
1607,281719,Good deal
2229,420863,Good deal
1776,100000,Good deal
2570,782571,No deal
1200,159675,Good deal
1916,626866,Good deal
2975,716864,No deal
1554,308876,No deal
2144,803784,Good deal
2454,449925,No deal
1634,251855,Good deal
2020,299625,Good deal
3661,434900,No deal
2257,134900,Good deal
1109,99755,Good deal
1097,1086800,No deal
1696,768944,No deal
1694,633357,No deal
1057,45425,Good deal
1594,154950,Good deal
1898,617774,Good deal
1893,1360172,Good deal
2282,252406,Good deal
1658,254013,Good deal
1037,431876,No deal
2905,830084,No deal
1728,390871,No deal
2504,697443,No deal
3455,1177159,No deal
2008,473664,Good deal
2522,730278,No deal
2916,516630,No deal
2806,624933,No deal
1437,154950,Good deal
2088,280820,Good deal
2238,398028,Good deal
2050,567378,Good deal
1771,85700,Good deal
1184,247135,Good deal
1616,145475,Good deal
2338,117168,Good deal
1548,233485,Good deal
1601,396250,No deal
3252,2741461,No deal
1832,262293,Good deal
3290,763346,No deal
3180,550000,No deal
1904,544083,Good deal
1458,67000,Good deal
2145,595000,Good deal
1635,290417,Good deal
2550,359344,No deal
1682,298904,No deal
2962,1150848,No deal
1390,399653,No deal
1208,490350,No deal
1862,354949,No deal
1570,194825,Good deal
1321,2113029,No deal
2133,207475,Good deal
1753,87250,Good deal
2712,121150,Good deal
2400,494125,No deal
1904,207496,Good deal
1670,854423,No deal
3647,1297154,No deal
1994,281455,Good deal
2075,213194,Good deal
1489,377078,No deal
1900,659418,Good deal
1470,293333,No deal
2365,244950,Good deal
1740,201276,Good deal
1648,397009,No deal
1744,325321,No deal
2112,243700,Good deal
1609,484518,No deal
1382,297450,No deal
2094,878139,Good deal
1224,180358,Good deal
1837,1192051,No deal
1924,226106,Good deal
1118,131787,Good deal
2533,1015124,No deal
1290,157000,Good deal
2355,618341,No deal
2200,766050,Good deal
1909,362026,Good deal
1621,292006,Good deal
2401,274954,Good deal
1372,149950,Good deal
1226,249205,Good deal
4194,8801304,No deal
2703,290265,Good deal
1857,189900,Good deal
1700,109000,Good deal
2063,510814,Good deal
2245,332000,Good deal
2393,317935,No deal
4816,950000,No deal
960,149224,Good deal
1233,122967,Good deal
1042,109000,Good deal
1406,232396,Good deal
2519,149500,Good deal
1275,161400,Good deal
1486,837904,No deal
1206,525161,No deal
1771,564404,No deal
1676,115000,Good deal
1170,69000,Good deal
2464,445978,No deal
2484,210764,Good deal
1539,217710,Good deal
2525,792467,No deal
1789,339500,No deal
2114,393615,Good deal
1679,1629451,No deal
1279,148750,Good deal
1421,59583,Good deal
2778,1019231,No deal
1202,224506,Good deal
2500,479450,No deal
1786,365500,No deal
1697,676990,No deal
1536,178893,Good deal
2400,2439633,No deal
2118,458350,Good deal
2085,498942,Good deal
3319,300784,No deal
1300,145585,Good deal
3176,589000,No deal
1254,159000,Good deal
550,44000,Good deal
1753,199700,Good deal
1285,244950,Good deal
1946,384137,Good deal
1989,417086,Good deal
2249,311939,Good deal
2500,441667,No deal
1947,404670,Good deal
1767,223880,Good deal
2210,423038,Good deal
2105,450000,Good deal
2216,952529,Good deal
972,482054,No deal
1472,210680,Good deal
4150,1038281,No deal
1734,290085,Good deal
1384,76478,Good deal
3257,979053,No deal
1597,568517,No deal
1517,465238,No deal
1875,316119,No deal
1187,278081,Good deal
2716,717979,No deal
1879,264338,Good deal
1962,194100,Good deal
2000,312922,Good deal
2575,295000,No deal
1811,427142,No deal
1836,325000,No deal
1310,247823,Good deal
2700,692494,No deal
1572,208350,Good deal
2807,515973,No deal
1523,289521,Good deal
1351,655084,No deal
1789,387886,No deal
1932,329900,Good deal
2309,313398,Good deal
2861,160000,Good deal
1796,67900,Good deal
1567,695623,No deal
3905,259925,Good deal
1305,395431,No deal
2400,99000,Good deal
1152,70000,Good deal
1628,399900,No deal
1679,300000,No deal
1591,166640,Good deal
1873,498625,No deal
1582,264171,Good deal
1341,783300,No deal
1812,139500,Good deal
1772,1674229,No deal
4028,427333,No deal
1493,164925,Good deal
1562,732076,No deal
1764,284465,Good deal
976,309999,No deal
2597,825884,No deal
927,676860,No deal
2313,435444,Good deal
2000,161225,Good deal
2338,531345,Good deal
2007,598443,Good deal
2050,362535,Good deal
962,90417,Good deal
2074,728621,Good deal
2312,325957,Good deal
1819,351500,No deal
2271,415227,Good deal
2880,399011,No deal
2079,413046,Good deal
1680,216170,Good deal
1660,202250,Good deal
2551,802833,No deal
1630,151221,Good deal
2320,159900,Good deal
2349,1040910,No deal
2052,160450,Good deal
802,525000,No deal
700,156987,Good deal
2328,428566,Good deal
2792,838223,No deal
1961,2801072,Good deal
1516,895333,No deal
1215,766044,No deal
3182,421900,No deal
2190,187971,Good deal
1376,232500,Good deal
2020,447213,Good deal
1718,553782,No deal
960,36250,Good deal
2544,1746723,No deal
1395,115069,Good deal
1488,1500000,No deal
1469,152917,Good deal
2409,541167,No deal
1567,371129,No deal
2363,492686,No deal
2187,392225,Good deal
1740,845000,No deal
2603,715600,No deal
1014,176333,Good deal
1053,78500,Good deal
1425,162246,Good deal
2374,1115522,No deal
1370,788284,No deal
988,115175,Good deal
3655,1900751,No deal
2400,237375,Good deal
1992,477415,Good deal
1224,261192,Good deal
1206,22900,Good deal
1492,145508,Good deal
2120,288403,Good deal
1465,204900,Good deal
1480,626535,No deal
3592,134900,Good deal
3688,475000,No deal
2832,461796,No deal
1624,131950,Good deal
1774,2452046,No deal
1997,519190,Good deal
1878,489527,No deal
1268,607250,No deal
2228,574181,Good deal
2389,519966,No deal
4343,787371,No deal
3327,707788,No deal
1764,205750,Good deal
2303,362217,Good deal
1377,460017,No deal
3157,569900,No deal
5084,1414582,No deal
1077,85000,Good deal
1924,356710,Good deal
2382,211519,Good deal
2089,361752,Good deal
1346,234464,Good deal
1812,165000,Good deal
2144,276730,Good deal
1640,169000,Good deal
2214,211950,Good deal
2686,724169,No deal
2058,260000,Good deal
1424,422079,No deal
1519,900113,No deal
2742,961225,No deal
1334,171617,Good deal
1722,141175,Good deal
1198,186333,Good deal
2712,1634518,No deal
3064,289900,Good deal
2049,423531,Good deal
1724,562500,No deal
1206,89400,Good deal
2975,1973333,No deal
1723,524813,No deal
2567,277271,Good deal
1754,282945,Good deal
2472,473343,No deal
4058,865952,No deal
2169,566633,Good deal
1456,166900,Good deal
7405,6000000,No deal
1081,66418,Good deal
1602,262506,Good deal
2215,545902,Good deal
1457,647670,No deal
1706,191783,Good deal
2198,534948,Good deal
1885,8900,Good deal
1932,475000,Good deal
1774,448140,No deal
1274,87500,Good deal
1500,245617,Good deal
1862,412400,No deal
1706,561897,No deal
3312,505000,No deal
1639,685200,No deal
2161,411619,Good deal
1827,553006,No deal
1748,540739,No deal
1209,232670,Good deal
1824,557344,No deal
856,813451,No deal
1105,184468,Good deal
1445,113333,Good deal
1599,2921119,No deal
1684,245983,Good deal
1359,63233,Good deal
1716,453881,No deal
3168,600438,No deal
1482,450955,No deal
1428,328840,No deal
4680,599900,No deal
1650,185684,Good deal
3414,351425,No deal
5482,1500000,No deal
2362,124482,Good deal
2291,546000,Good deal
1422,175000,Good deal
1354,213835,Good deal
1920,155660,Good deal
1478,349000,No deal
2430,400512,No deal
3481,2268767,No deal
1559,465925,No deal
1958,429288,Good deal
4446,1462344,No deal
2912,301833,No deal
2210,728967,Good deal
1981,215000,Good deal
1494,280006,Good deal
1893,185218,Good deal
1167,128976,Good deal
3400,469000,No deal
1928,305371,Good deal
1638,840028,No deal
1203,90849,Good deal
1860,199900,Good deal
3420,1063178,No deal
2898,291515,Good deal
1513,98000,Good deal
1990,240326,Good deal
1850,355002,No deal
2004,302767,Good deal
2304,254111,Good deal
1788,487940,No deal
3100,769035,No deal
7749,2448333,No deal
1370,43375,Good deal
2191,600926,Good deal
1996,502733,Good deal
2045,481715,Good deal
1582,493555,No deal
1840,487485,No deal
3110,571916,No deal
2029,317640,Good deal
1743,253937,Good deal
1976,514536,Good deal
1594,189467,Good deal
3059,328750,No deal
3266,1942944,No deal
1560,340097,No deal
1575,399733,No deal
2319,250000,Good deal
1450,102168,Good deal
1585,223638,Good deal
3351,971586,No deal
1399,418674,No deal
1694,98275,Good deal
1536,110057,Good deal
798,161499,Good deal
3298,160875,Good deal
1609,331435,No deal
1806,337550,No deal
1430,551290,No deal
1755,147276,Good deal
987,908731,No deal
1200,42900,Good deal
1350,380196,No deal
1579,1870506,No deal
1950,271327,Good deal
1110,48671,Good deal
1819,800311,No deal
988,387833,No deal
3108,262458,Good deal
1556,446525,No deal
840,22000,Good deal
2246,819158,Good deal
3900,899000,No deal
1787,306600,No deal
2136,299900,Good deal
3200,497000,No deal
2196,625641,Good deal
2300,307060,Good deal
2084,596782,Good deal
1739,105500,Good deal
1008,81333,Good deal
2014,541181,Good deal
1732,316300,No deal
998,650600,No deal
1627,3981318,No deal
2112,193365,Good deal
2231,122168,Good deal
2759,752105,No deal
2266,516329,Good deal
652,215000,Good deal
2622,777403,No deal
2790,186200,Good deal
2230,630000,Good deal
1512,167500,Good deal
2432,1260829,No deal
1195,450760,No deal
2080,654288,Good deal
2556,733667,No deal
2157,1315982,Good deal
2593,1725333,No deal
1426,329900,No deal
2250,680000,Good deal
1075,106316,Good deal
1728,170583,Good deal
1351,376137,No deal
2728,785000,No deal
1976,1191131,Good deal
2144,223299,Good deal
2716,30000,Good deal
1112,261419,Good deal
4847,739900,No deal
1068,284604,Good deal
1500,133500,Good deal
1620,172045,Good deal
2052,1443198,Good deal
1493,143323,Good deal
4127,2272500,No deal
2819,1890594,No deal
1232,603062,No deal
2562,276350,Good deal
2290,159900,Good deal
5565,671950,No deal
1684,459903,No deal
2042,259607,Good deal
1461,225000,Good deal
1313,400672,No deal
1912,346468,Good deal
2110,1246646,Good deal
2700,1719771,No deal
2096,496192,Good deal
3250,949356,No deal
2266,851764,Good deal
1964,631477,Good deal
1752,574736,No deal
1580,426671,No deal
2322,292500,Good deal
3257,649900,No deal
5817,1250000,No deal
1748,329480,No deal
2704,303647,No deal
1560,800365,No deal
1846,333177,No deal
1854,682262,No deal
1779,884894,No deal
1196,241354,Good deal
1644,237531,Good deal
1412,161042,Good deal
2509,357073,No deal
3306,269900,Good deal
2836,545960,No deal
1249,319366,No deal
1409,259745,Good deal
2196,374313,Good deal
2096,311895,Good deal
1957,50000,Good deal
2499,1019851,No deal
1802,405521,No deal
2099,408781,Good deal
1660,233996,Good deal
1251,511572,No deal
1720,159900,Good deal
2392,337658,No deal
4581,1295000,No deal
2715,449811,No deal
1742,350323,No deal
13500,4.53E+07,No deal
1669,363035,No deal
1783,456743,No deal
1800,265967,Good deal
2070,367549,Good deal
1612,84407,Good deal
1800,320606,No deal
1470,3097500,No deal
1214,702097,No deal
1551,441844,No deal
2098,249983,Good deal
1273,180368,Good deal
3512,1007514,No deal
1736,379716,No deal
2900,259900,Good deal
2200,425000,Good deal
4305,1900000,No deal
1480,480432,No deal
1132,149900,Good deal
932,383880,No deal
1116,213266,Good deal
2231,8797176,Good deal
1749,284004,Good deal
1102,165270,Good deal
2012,1330538,Good deal
4119,456875,No deal
2605,407054,No deal
3888,7507567,No deal
1800,134600,Good deal
2237,344150,Good deal
1800,438361,No deal
1918,609695,Good deal
825,1488692,No deal
2254,611366,Good deal
2800,256305,Good deal
1919,598000,Good deal
2833,209000,Good deal
2059,467134,Good deal
1726,90817,Good deal
1100,120000,Good deal
3076,1422402,No deal
1909,333249,Good deal
3000,564583,No deal
1896,249900,Good deal
1424,239000,Good deal
1901,863470,Good deal
2070,724505,Good deal
2605,645583,No deal
1037,432425,No deal
1804,157115,Good deal
2158,842967,Good deal
2680,479933,No deal
1955,399500,Good deal
2102,513896,Good deal
2240,2220050,Good deal
1988,735373,Good deal
2000,458130,Good deal
2054,461465,Good deal
3900,399000,No deal
1448,649137,No deal
1180,950000,No deal
1912,220283,Good deal
1974,290969,Good deal
1552,498498,No deal
1413,611234,No deal
1344,280107,Good deal
792,120000,Good deal
1716,297762,No deal
2696,639527,No deal
1836,243089,Good deal
2477,560101,No deal
2338,1275000,Good deal
1649,66567,Good deal
2040,365000,Good deal
968,88000,Good deal
1474,248443,Good deal
2420,364000,No deal
2184,230000,Good deal
1200,330667,No deal
4117,141333,Good deal
1380,125000,Good deal
1917,454381,Good deal
2816,1495000,No deal
1809,172688,Good deal
1558,825776,No deal
1852,515167,No deal
1802,431848,No deal
1691,343238,No deal
4685,1.52E+07,No deal
1552,423019,No deal
2088,310756,Good deal
1722,451177,No deal
2395,867752,No deal
1705,214000,Good deal
1716,429339,No deal
1796,391083,No deal
2110,282072,Good deal
1340,157500,Good deal
1887,465577,Good deal
1621,505303,No deal
1466,201975,Good deal
1419,300000,No deal
1808,104900,Good deal
2499,770090,No deal
2000,48408,Good deal
2200,798500,Good deal
2200,349900,Good deal
2481,614062,No deal
1307,57608,Good deal
1696,105000,Good deal
2400,292133,Good deal
1325,169470,Good deal
1744,297933,No deal
1810,2488574,No deal
2268,411527,Good deal
1999,164967,Good deal
1018,379900,No deal
1546,77000,Good deal
3400,440000,No deal
1832,886895,No deal
1727,371266,No deal
2879,436392,No deal
