median_square_feet,average_listing_price,indicator
1720,164432,Good deal
1636,293613,No deal
2224,466990,Good deal
1133,221225,Good deal
1692,367733,No deal
2023,328149,Good deal
2428,244900,Good deal
2520,3103000,No deal
1733,464084,No deal
1056,40000,Good deal
1754,258320,Good deal
10495,287500,Good deal
1979,2536456,Good deal
3876,5256488,No deal
6967,493567,No deal
1936,74900,Good deal
2041,797641,Good deal
2534,938980,No deal
1100,137381,Good deal
1200,257500,Good deal
1200,164388,Good deal
1200,97500,Good deal
2172,3342825,Good deal
1500,199900,Good deal
3029,399900,No deal
1662,475538,No deal
1800,826053,No deal
2106,139900,Good deal
1732,390187,No deal
1225,323194,No deal
1000,196245,Good deal
1800,3600000,No deal
1430,177688,Good deal
2476,380194,No deal
1792,88000,Good deal
2262,188650,Good deal
2220,278057,Good deal
2834,805400,No deal
4043,886777,No deal
1542,196650,Good deal
2546,249281,Good deal
3354,102400,Good deal
1992,238868,Good deal
2710,600488,No deal
2249,177450,Good deal
1704,701167,No deal
1236,58793,Good deal
1094,157704,Good deal
2289,284057,Good deal
3025,399000,No deal
1198,309117,No deal
1078,267051,Good deal
1669,497494,No deal
1517,712528,No deal
1975,294000,Good deal
1782,280900,Good deal
1800,387500,No deal
2666,650000,No deal
1800,335450,No deal
1688,325000,No deal
3232,247083,Good deal
2503,622254,No deal
1080,299000,No deal
837,239250,Good deal
1981,683774,Good deal
1788,343135,No deal
2166,980889,Good deal
1609,245946,Good deal
1712,495264,No deal
1779,163745,Good deal
1297,185448,Good deal
1632,205500,Good deal
2205,1777230,Good deal
4284,2362375,No deal
1897,671875,Good deal
1897,105000,Good deal
1515,244550,Good deal
2077,256493,Good deal
2467,425235,No deal
2024,345000,Good deal
2312,710571,Good deal
1792,507148,No deal
2112,120000,Good deal
1705,308537,No deal
1472,274775,Good deal
1900,219000,Good deal
1840,518437,No deal
1768,120475,Good deal
11935,1887500,No deal
1700,313943,No deal
2079,257450,Good deal
2110,470025,Good deal
1029,1869316,No deal
2373,706423,No deal
2201,470675,Good deal
1638,299333,No deal
1945,369590,Good deal
1218,121647,Good deal
1318,244514,Good deal
3329,1050000,No deal
1545,258195,Good deal
4426,1198640,No deal
1872,389993,No deal
2200,1007246,Good deal
2022,508748,Good deal
1792,400874,No deal
1240,656270,No deal
2143,1400000,Good deal
1665,189900,Good deal
1436,441819,No deal
1120,79500,Good deal
2423,524525,No deal
2070,286638,Good deal
2492,447940,No deal
1980,417352,Good deal
888,45000,Good deal
1064,584406,No deal
2179,865000,Good deal
2052,2575000,Good deal
1455,90500,Good deal
2030,287629,Good deal
1548,57625,Good deal
1245,59000,Good deal
2853,448992,No deal
1626,356395,No deal
1459,955931,No deal
1992,362265,Good deal
1611,231600,Good deal
1672,634208,No deal
1800,486100,No deal
2334,179000,Good deal
1087,196563,Good deal
2800,403255,No deal
5088,374000,No deal
1410,135324,Good deal
2080,399000,Good deal
2638,1556250,No deal
2352,360405,No deal
1517,833244,No deal
1800,725000,No deal
2456,219850,Good deal
3194,516225,No deal
2010,296633,Good deal
1708,327976,No deal
1499,417500,No deal
2709,561580,No deal
3312,1117849,No deal
1136,47748,Good deal
1136,519033,No deal
2336,124900,Good deal
1952,678717,Good deal
908,161333,Good deal
1656,202157,Good deal
1240,99900,Good deal
1491,118938,Good deal
1929,304908,Good deal
1536,181975,Good deal
2239,375000,Good deal
1501,136842,Good deal
1663,290077,Good deal
1728,152950,Good deal
1321,817942,No deal
1771,337271,No deal
516,387500,No deal
1963,298750,Good deal
2280,283267,Good deal
1568,67586,Good deal
2804,487450,No deal
3962,1572671,No deal
2498,620375,No deal
3250,823750,No deal
1574,689000,No deal
2545,649900,No deal
1015,135781,Good deal
3057,634265,No deal
2052,401567,Good deal
1300,206540,Good deal
1457,183781,Good deal
2052,260950,Good deal
4390,675000,No deal
1310,238450,Good deal
2340,392250,Good deal
2555,813522,No deal
1909,743606,Good deal
1559,205000,Good deal
2016,159900,Good deal
900,293473,No deal
1066,131242,Good deal
2125,303650,Good deal
2600,800000,No deal
794,70000,Good deal
1404,457792,No deal
2760,389000,No deal
1299,53908,Good deal
1938,2318475,Good deal
1991,207836,Good deal
1715,204475,Good deal
